Province_State,State_Code,Population,Lat,Long
Alabama,AL,4903185,31.93111280710145,-84.1967854963768
Alaska,AK,740995,56.628273496666665,-139.57153971515152
Arizona,AZ,7278717,29.714032625294116,-98.3499107
Arkansas,AR,3017804,34.00508706844156,-90.03309571597403
California,CA,39512223,36.582496257833334,-116.70430769166666
Colorado,CO,5758736,37.755611605,-102.28968723333332
Connecticut,CT,3565287,33.290944112,-58.125463743
Delaware,DE,973764,23.465566094000003,-45.319942474
District of Columbia,DC,705749,12.968059243333334,-25.672186640000003
Florida,FL,21477737,28.101892418840578,-80.3036208973913
Georgia,GA,10617423,32.40097273931677,-82.53920098291925
Hawaii,HI,1415872,15.020202147142857,-112.37374034285712
Idaho,ID,1787065,42.33890555152174,-109.48359774782608
Illinois,IL,12671821,39.07739428394231,-87.46336218365384
Indiana,IN,6732219,38.98974990680851,-84.38413082255319
Iowa,IA,3155070,41.19763457752475,-91.61471705861386
Kansas,KS,2913314,37.76602602028037,-96.25119542869159
Kentucky,KY,4467673,37.00538739344262,-83.80317109967213
Louisiana,LA,4648794,30.150232614242423,-89.04163554530302
Maine,ME,1344212,39.722389694444445,-61.79890544722222
Maryland,MD,6045680,36.013772945,-70.77735471576923
Massachusetts,MA,6892503,37.117302877058826,-63.01629596529412
Michigan,MI,9986857,42.018626062643676,-81.26529574068965
Minnesota,MN,5639632,44.52837223842697,-92.30890913865169
Mississippi,MS,2976149,32.01194736261905,-87.51130375761905
Missouri,MO,6626371,37.80495530737288,-90.93169897135593
Montana,MT,1068778,45.35487419637931,-105.91762264482759
Nebraska,NE,1934408,40.451862422,-96.95398038757895
Nevada,NV,3080156,35.12378656105263,-105.18883632105263
New Hampshire,NH,1359711,36.23247739666667,-59.64804725416667
New Jersey,NJ,8882190,36.78327213608696,-68.13354104391304
New Mexico,NM,2096829,32.57510989428572,-99.83641555714286
New York,NY,19453561,41.2146466040625,-73.115615079375
North Carolina,NC,10488084,34.925695794117644,-77.94225366627451
North Dakota,ND,762062,45.670106483272725,-96.6039609470909
Ohio,OH,11689100,39.41487715044445,-80.994621162
Oklahoma,OK,3956971,34.60313178227848,-94.7893388192405
Oregon,OR,4217737,42.15069537605263,-115.08339751315789
Pennsylvania,PA,12801989,39.63494564884058,-75.36559848086956
Puerto Rico,PR,3754939,17.783792875,-64.74725248749999
Rhode Island,RI,1059361,29.753672932857143,-51.04578935571429
South Carolina,SC,5148714,32.542577458958334,-77.60909137166666
South Dakota,SD,884659,42.97055684117647,-96.3897351192647
Tennessee,TN,6829174,35.145203197525774,-84.33328540123712
Texas,TX,28995881,31.413294665390627,-97.88234150488282
Utah,UT,3205958,37.52840503459459,-105.52756603783784
Vermont,VT,623989,38.63955882375,-63.5988331175
Virginia,VA,8535519,37.00961476488889,-77.35054563525925
Washington,WA,7614893,44.92969927756097,-114.83047795609755
West Virginia,WV,1792147,37.452350067894734,-77.78877189877193
Wisconsin,WI,5822434,43.195274751756756,-87.37100754905406
Wyoming,WY,578759,39.6399346648,-98.580982828
